UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Timestamp,Last_Maintenance_Date,Days_Until_Next_Maintenance,Type_encoded
1,M14860,M,,,,,,0,0,0,0,0,0,2023-01-01 00:00:00,2023-01-01 00:00:00,0.0,2
2,L47181,L,297.5713291571292,311.0200637585362,1418.338577813403,47.03421697281756,5.239009469689854,0,0,0,0,0,0,2023-01-01 01:00:00,2023-01-01 00:00:00,0.0,1
3,L47182,L,301.0456298553717,311.51558312808936,1534.7173997546065,48.36992636918549,10.299896535866186,0,0,0,0,0,0,2023-01-01 02:00:00,2023-01-01 00:00:00,0.0,1
4,L47183,L,,,,,,0,0,0,0,0,0,2023-01-01 03:00:00,2023-01-01 00:00:00,1.0,1
5,L47184,L,297.13556426300363,307.27033591870475,1453.6787300003064,39.51886121673023,9.459269063215338,0,0,0,0,0,0,2023-01-01 04:00:00,2023-01-01 00:00:00,0.0,1
6,M14865,M,297.03573906795685,305.8044001737826,1381.8166936091136,43.11148650789651,9.268406004668519,0,0,0,0,0,0,2023-01-01 05:00:00,2023-01-01 00:00:00,0.0,2
7,L47186,L,305.28223191958483,309.1167299283204,1567.284503908851,41.98339677460693,11.169800483421806,0,0,0,0,0,0,2023-01-01 06:00:00,2023-01-01 06:00:00,0.0,1
8,L47187,L,301.5906885678619,314.20250786767616,1534.5527501300699,38.61977275159499,19.243966300991815,0,0,0,0,0,0,2023-01-01 07:00:00,2023-01-01 07:00:00,0.0,1
9,M14868,M,,,,,,0,0,0,0,0,0,2023-01-01 08:00:00,2023-01-01 08:00:00,0.0,2
10,M14869,M,300.96824832756425,313.6835994511462,1756.4503716656125,26.346942731569246,22.786189241547472,0,0,0,0,0,0,2023-01-01 09:00:00,2023-01-01 09:00:00,0.0,2
11,H29424,H,296.2935622957157,305.2419625225667,1742.2778504216535,23.02206707383341,26.36020970638098,0,0,0,0,0,0,2023-01-01 10:00:00,2023-01-01 10:00:00,0.0,0
